City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,tidjikja,18.5564,-11.4271,31.5,11,74,3.81,MR,1684618602
84,namibe,-15.1961,12.1522,20.07,76,0,2.77,AO,1684618602
85,wailua homesteads,22.0669,-159.378,28.24,76,20,3.6,US,1684618399
86,yakeshi,49.2833,120.7333,9.0,46,23,1.46,CN,1684618602
87,hawaiian paradise park,19.5933,-154.9731,27.8,77,40,4.12,US,1684618602
88,kodiak,57.79,-152.4072,6.73,81,100,10.8,US,1684618404
89,ribeira grande,38.5167,-28.7,17.65,76,56,4.92,PT,1684618602
90,isafjordur,66.0755,-23.124,4.42,74,37,11.26,IS,1684618602
91,talnakh,69.4865,88.3972,-9.6,96,33,0.51,RU,1684618603
92,tual,-5.6667,132.75,27.32,77,88,7.08,ID,1684618603
93,ludington,43.9553,-86.4526,20.45,39,0,4.63,US,1684618603
94,port elizabeth,-33.918,25.5701,11.84,91,94,1.79,ZA,1684618603
95,constantia,44.1833,28.65,14.38,73,47,4.98,RO,1684618435
96,crane,31.3974,-102.3501,24.49,45,99,4.23,US,1684618603
97,floro,61.5996,5.0328,11.8,93,75,2.57,NO,1684618603
98,hede,33.7681,120.2517,17.7,82,99,1.3,CN,1684618603
99,nova vicosa,-17.8919,-39.3719,23.22,73,4,4.89,BR,1684618603
100,nar'yan-mar,67.6713,53.087,4.9,68,100,3.83,RU,1684618603
101,coahuayana de hidalgo,18.7,-103.6583,32.47,50,100,3.66,MX,1684618603
102,yacuiba,-22.038,-63.6797,18.53,96,100,1.84,BO,1684618604
103,east london,-33.0153,27.9116,14.96,53,10,3.27,ZA,1684618604
104,sitangkai,4.6628,119.3928,27.53,78,97,1.47,PH,1684618604
105,keflavik,64.0049,-22.5624,6.24,65,75,13.89,IS,1684618604
106,whitehorse,60.7161,-135.0538,19.34,29,75,5.14,CA,1684618568
107,port alfred,-33.5906,26.891,15.08,45,52,2.97,ZA,1684618604
108,mammoth lakes,37.6485,-118.9721,19.59,33,100,2.24,US,1684618604
109,petropavlovsk-kamchatsky,53.0452,158.6483,0.33,100,100,1.0,RU,1684618604
110,guane,22.2025,-84.0875,30.69,53,75,2.29,CU,1684618604
111,sao jose da coroa grande,-8.8978,-35.1478,25.0,90,87,4.1,BR,1684618604
112,georgetown,5.4112,100.3354,26.97,78,40,2.06,MY,1684618604
113,correntina,-13.3433,-44.6367,21.35,35,5,2.25,BR,1684618604
114,verkhnyaya salda,58.0456,60.5533,10.16,51,4,0.83,RU,1684618605
115,changji,44.0167,87.3167,17.44,55,0,1.0,CN,1684618605
116,weno,7.4515,151.8468,25.97,94,100,3.6,FM,1684618605
117,xiva,41.3783,60.3639,17.99,35,48,4.21,UZ,1684618605
118,reggane,26.7158,0.1714,25.93,17,1,1.68,DZ,1684618605
119,sitka,57.0531,-135.33,11.94,82,100,3.09,US,1684618605
120,howrah,22.5892,88.3103,29.0,89,40,3.09,IN,1684618605
121,saacow,1.6279,42.4407,24.53,89,43,4.29,SO,1684618605
122,east ballina,-28.8667,153.5833,12.67,63,0,5.5,AU,1684618605
123,val-des-monts,45.6501,-75.666,15.23,94,100,2.57,CA,1684618605
124,bredasdorp,-34.5322,20.0403,16.46,66,100,6.41,ZA,1684618605
125,qaqortoq,60.7167,-46.0333,0.14,96,99,10.9,GL,1684618605
126,st. john's,47.5649,-52.7093,12.38,66,100,16.98,CA,1684618561
127,ejigbo,7.9,4.3167,23.9,93,97,2.37,NG,1684618606
